frequency,location,lat,lon,mode
111.1,YGLB CTAF,-34.800996,149.717663,6K00A3E
111.1,YMRY CTAF,-35.898329,150.144999,6K00A3E
129.5,QF CB,-35.304165,149.190332,6K00A3E
130.2,VA CB,-35.304165,149.190332,6K00A3E
